company_id,type,rule_id,text,confidence_pct
ABB,PRO,P1,High ROE indicates efficient capital utilization.,95
ABB,PRO,P3,Strong profit margins support healthy earnings.,90
ABB,PRO,P4,High operating margin reflects operational efficiency.,90
ABB,PRO,P5,Low debt improves financial stability.,93
ABB,PRO,P6,Comfortable interest coverage reduces financial risk.,92
ABB,PRO,P8,Profit growth has remained consistently strong.,92
ABB,PRO,P9,EPS growth indicates increasing shareholder value.,92
ABB,PRO,P10,Positive free cash flow strengthens future growth.,90
ABB,PRO,P12,Excellent overall quality score.,96
ADANIENSOL,PRO,P4,High operating margin reflects operational efficiency.,90
ADANIENSOL,PRO,P7,Revenue has grown consistently over five years.,92
ADANIENSOL,PRO,P8,Profit growth has remained consistently strong.,92
ADANIENSOL,PRO,P10,Positive free cash flow strengthens future growth.,90
ADANIENSOL,PRO,P11,Healthy dividend yield rewards shareholders.,80
ADANIENSOL,CON,C1,Low ROE reflects weak capital efficiency.,95
ADANIENSOL,CON,C5,High debt increases financial risk.,93
ADANIENT,PRO,P7,Revenue has grown consistently over five years.,92
ADANIENT,PRO,P8,Profit growth has remained consistently strong.,92
ADANIENT,PRO,P9,EPS growth indicates increasing shareholder value.,92
ADANIENT,CON,C1,Low ROE reflects weak capital efficiency.,95
ADANIENT,CON,C3,Weak profit margins reduce profitability.,90
ADANIENT,CON,C5,High debt increases financial risk.,93
ADANIENT,CON,C10,Negative free cash flow may constrain future growth.,90
ADANIGREEN,PRO,P4,High operating margin reflects operational efficiency.,90
ADANIGREEN,PRO,P7,Revenue has grown consistently over five years.,92
ADANIGREEN,CON,C5,High debt increases financial risk.,93
ADANIGREEN,CON,C6,Poor interest coverage raises repayment concerns.,92
ADANIGREEN,CON,C10,Negative free cash flow may constrain future growth.,90
ADANIPORTS,PRO,P3,Strong profit margins support healthy earnings.,90
ADANIPORTS,PRO,P4,High operating margin reflects operational efficiency.,90
ADANIPORTS,PRO,P6,Comfortable interest coverage reduces financial risk.,92
ADANIPORTS,PRO,P7,Revenue has grown consistently over five years.,92
ADANIPORTS,PRO,P10,Positive free cash flow strengthens future growth.,90
