company_id,category,insight,confidence_pct
TCS,Cash Rich,Positive operating and overall cash flow indicate healthy liquidity.,92
ABB,Healthy Cash Flow,Strong operating cash flow while investing for growth and reducing financing obligations.,95
ABB,Cash Rich,Positive operating and overall cash flow indicate healthy liquidity.,92
ADANIENSOL,Healthy Cash Flow,Strong operating cash flow while investing for growth and reducing financing obligations.,95
ADANIENSOL,Cash Rich,Positive operating and overall cash flow indicate healthy liquidity.,92
ADANIENT,Growing Business,Business is generating cash and raising capital to support expansion.,90
ADANIENT,Cash Rich,Positive operating and overall cash flow indicate healthy liquidity.,92
ADANIGREEN,Growing Business,Business is generating cash and raising capital to support expansion.,90
ADANIGREEN,Cash Rich,Positive operating and overall cash flow indicate healthy liquidity.,92
ADANIPORTS,Healthy Cash Flow,Strong operating cash flow while investing for growth and reducing financing obligations.,95
ADANIPORTS,Cash Rich,Positive operating and overall cash flow indicate healthy liquidity.,92
ADANIPOWER,Cash Rich,Positive operating and overall cash flow indicate healthy liquidity.,92
AMBUJACEM,Growing Business,Business is generating cash and raising capital to support expansion.,90
AMBUJACEM,Cash Rich,Positive operating and overall cash flow indicate healthy liquidity.,92
APOLLOHOSP,Healthy Cash Flow,Strong operating cash flow while investing for growth and reducing financing obligations.,95
APOLLOHOSP,Cash Rich,Positive operating and overall cash flow indicate healthy liquidity.,92
ASIANPAINT,Healthy Cash Flow,Strong operating cash flow while investing for growth and reducing financing obligations.,95
ASIANPAINT,Cash Rich,Positive operating and overall cash flow indicate healthy liquidity.,92
AXISBANK,Operational Weakness,Negative operating cash flow indicates weak core business performance.,95
AXISBANK,Heavy Borrowing,Business depends on external financing instead of operations.,94
BAJAJ-AUTO,Healthy Cash Flow,Strong operating cash flow while investing for growth and reducing financing obligations.,95
BAJAJ-AUTO,Cash Rich,Positive operating and overall cash flow indicate healthy liquidity.,92
BAJAJFINSV,Operational Weakness,Negative operating cash flow indicates weak core business performance.,95
BAJAJFINSV,Heavy Borrowing,Business depends on external financing instead of operations.,94
BAJAJHLDNG,Healthy Cash Flow,Strong operating cash flow while investing for growth and reducing financing obligations.,95
BAJAJHLDNG,Cash Rich,Positive operating and overall cash flow indicate healthy liquidity.,92
BAJFINANCE,Operational Weakness,Negative operating cash flow indicates weak core business performance.,95
BAJFINANCE,Heavy Borrowing,Business depends on external financing instead of operations.,94
BANKBARODA,Operational Weakness,Negative operating cash flow indicates weak core business performance.,95
BANKBARODA,Heavy Borrowing,Business depends on external financing instead of operations.,94
BANKBARODA,Cash Burn,Negative operating and net cash flow indicate sustained cash burn.,96
BEL,Healthy Cash Flow,Strong operating cash flow while investing for growth and reducing financing obligations.,95
BHARTIARTL,Healthy Cash Flow,Strong operating cash flow while investing for growth and reducing financing obligations.,95
BHARTIARTL,Cash Rich,Positive operating and overall cash flow indicate healthy liquidity.,92
BHEL,Operational Weakness,Negative operating cash flow indicates weak core business performance.,95
BHEL,Heavy Borrowing,Business depends on external financing instead of operations.,94
BOSCHLTD,Cash Rich,Positive operating and overall cash flow indicate healthy liquidity.,92
BPCL,Healthy Cash Flow,Strong operating cash flow while investing for growth and reducing financing obligations.,95
BRITANNIA,Cash Rich,Positive operating and overall cash flow indicate healthy liquidity.,92
CANBK,Healthy Cash Flow,Strong operating cash flow while investing for growth and reducing financing obligations.,95
CANBK,Cash Rich,Positive operating and overall cash flow indicate healthy liquidity.,92
CHOLAFIN,Operational Weakness,Negative operating cash flow indicates weak core business performance.,95
CHOLAFIN,Heavy Borrowing,Business depends on external financing instead of operations.,94
CHOLAFIN,Cash Burn,Negative operating and net cash flow indicate sustained cash burn.,96
CIPLA,Healthy Cash Flow,Strong operating cash flow while investing for growth and reducing financing obligations.,95
COALINDIA,Healthy Cash Flow,Strong operating cash flow while investing for growth and reducing financing obligations.,95
DABUR,Healthy Cash Flow,Strong operating cash flow while investing for growth and reducing financing obligations.,95
DIVISLAB,Healthy Cash Flow,Strong operating cash flow while investing for growth and reducing financing obligations.,95
DIVISLAB,Cash Rich,Positive operating and overall cash flow indicate healthy liquidity.,92
DLF,Growing Business,Business is generating cash and raising capital to support expansion.,90
DLF,Cash Rich,Positive operating and overall cash flow indicate healthy liquidity.,92
DMART,Healthy Cash Flow,Strong operating cash flow while investing for growth and reducing financing obligations.,95
DMART,Cash Rich,Positive operating and overall cash flow indicate healthy liquidity.,92
DRREDDY,Healthy Cash Flow,Strong operating cash flow while investing for growth and reducing financing obligations.,95
DRREDDY,Cash Rich,Positive operating and overall cash flow indicate healthy liquidity.,92
EICHERMOT,Healthy Cash Flow,Strong operating cash flow while investing for growth and reducing financing obligations.,95
EICHERMOT,Cash Rich,Positive operating and overall cash flow indicate healthy liquidity.,92
GAIL,Healthy Cash Flow,Strong operating cash flow while investing for growth and reducing financing obligations.,95
GAIL,Cash Rich,Positive operating and overall cash flow indicate healthy liquidity.,92
GODREJCP,Growing Business,Business is generating cash and raising capital to support expansion.,90
GODREJCP,Cash Rich,Positive operating and overall cash flow indicate healthy liquidity.,92
GRASIM,Operational Weakness,Negative operating cash flow indicates weak core business performance.,95
GRASIM,Heavy Borrowing,Business depends on external financing instead of operations.,94
HAL,Healthy Cash Flow,Strong operating cash flow while investing for growth and reducing financing obligations.,95
HAVELLS,Healthy Cash Flow,Strong operating cash flow while investing for growth and reducing financing obligations.,95
HCLTECH,Healthy Cash Flow,Strong operating cash flow while investing for growth and reducing financing obligations.,95
HCLTECH,Cash Rich,Positive operating and overall cash flow indicate healthy liquidity.,92
HDFCBANK,Cash Rich,Positive operating and overall cash flow indicate healthy liquidity.,92
HDFCLIFE,Healthy Cash Flow,Strong operating cash flow while investing for growth and reducing financing obligations.,95
HEROMOTOCO,Healthy Cash Flow,Strong operating cash flow while investing for growth and reducing financing obligations.,95
HEROMOTOCO,Cash Rich,Positive operating and overall cash flow indicate healthy liquidity.,92
HINDALCO,Healthy Cash Flow,Strong operating cash flow while investing for growth and reducing financing obligations.,95
HINDUNILVR,Healthy Cash Flow,Strong operating cash flow while investing for growth and reducing financing obligations.,95
HINDUNILVR,Cash Rich,Positive operating and overall cash flow indicate healthy liquidity.,92
ICICIBANK,Growing Business,Business is generating cash and raising capital to support expansion.,90
ICICIBANK,Cash Rich,Positive operating and overall cash flow indicate healthy liquidity.,92
